Game,Black_Energy,White_Energy,Predicted_Winner,Actual_Winner
386s-gokifu-20200921-Lian_Xiao-Tan_Xiao.sgf,46.88221709006928,53.11778290993071,W,B
387h-gokifu-20200921-Tang_Weixing-Ding_Hao.sgf,51.61290322580645,48.38709677419355,B,W
387i-gokifu-20200921-Fan_Yin-Dang_Yifei.sgf,48.56230031948881,51.43769968051119,W,B
387j-gokifu-20200921-Gu_Zihao-Huang_Yunsong.sgf,47.59615384615385,52.40384615384615,W,B
387v-gokifu-20200921-Zhou_Ruiyang-Meng_Tailing.sgf,46.724890829694324,53.275109170305676,W,B
387w-gokifu-20200921-Tuo_Jiaxi-Mi_Yuting.sgf,51.04477611940299,48.95522388059702,B,B
387x-gokifu-20200921-Gu_Zihao-Tan_Xiao.sgf,50.72115384615385,49.27884615384615,B,B
387y-gokifu-20200921-Yi_Lingtao-Shi_Yue.sgf,45.4337899543379,54.5662100456621,W,B
387z-gokifu-20200921-Tao_Xinran-Ding_Hao.sgf,48.13753581661891,51.862464183381086,W,B
3880-gokifu-20200922-Ke_Jie-Tuo_Jiaxi.sgf,48.717948717948715,51.28205128205128,W,B
3881-gokifu-20200921-Jiang_Weijie-Fan_Tingyu.sgf,50.71428571428571,49.28571428571429,B,W
3882-gokifu-20200921-Ke_Jie-Fan_Yin.sgf,54.32098765432099,45.67901234567901,B,B
3883-gokifu-20200921-Tong_Mengcheng-Tan_Xiao.sgf,47.654320987654316,52.345679012345684,W,W
3884-gokifu-20200922-Fan_Tingyu-Tao_Xinran.sgf,53.64963503649635,46.35036496350365,B,B
3885-gokifu-20200924-Lian_Xiao-Gu_Zihao.sgf,48.33759590792839,51.66240409207161,W,W
3886-gokifu-20200922-Xie_Ke-Gu_Zihao.sgf,50.45045045045045,49.549549549549546,B,W
3888-gokifu-20200921-Chen_Yaoye-Xie_Erhao.sgf,48.86363636363637,51.13636363636363,W,B
3889-gokifu-20200921-Chen_Xian-Ke_Jie.sgf,49.681528662420384,50.318471337579616,W,W
388a-gokifu-20200923-Gu_Zihao-Ke_Jie.sgf,47.91666666666667,52.083333333333336,W,B
388b-gokifu-20200921-Meng_Tailing-Yang_Dingxin.sgf,46.855345911949684,53.144654088050316,W,B
388c-gokifu-20200921-Tuo_Jiaxi-Yi_Lingtao.sgf,52.10280373831776,47.89719626168225,B,B
388d-gokifu-20200921-Xie_Ke-Li_Qincheng.sgf,48.94957983193277,51.05042016806722,W,B
388f-gokifu-20200921-Xu_Jiayang-Zhao_Chenyu.sgf,47.63513513513514,52.36486486486487,W,W
388g-gokifu-20200921-Xie_Ke-Zhao_Chenyu.sgf,49.6875,50.31250000000001,W,B
388h-gokifu-20200923-Fan_Tingyu-Lian_Xiao.sgf,51.488095238095234,48.51190476190476,B,W
388i-gokifu-20200921-Li_Xuanhao-Lian_Xiao.sgf,50.88967971530249,49.11032028469751,B,W
388j-gokifu-20200922-Zhou_Ruiyang-Lian_Xiao.sgf,48.36601307189542,51.633986928104584,W,W
388k-gokifu-20200921-Peng_Liyao-Zhou_Ruiyang.sgf,46.137339055793994,53.862660944206006,W,W
388l-gokifu-20200921-Tao_Xinran-Zhang_Tao.sgf,50.63694267515923,49.36305732484077,B,B
388m-gokifu-20200921-Fan_Tingyu-Liao_Yuanhe.sgf,49.0625,50.9375,W,B
388x-gokifu-20200927-Yin_Mingming-Li_He.sgf,52.10084033613446,47.89915966386555,B,W
3895-gokifu-20200928-Fujisawa_Rina-Li_He.sgf,50.8860759493671,49.11392405063291,B,W
3896-gokifu-20200928-Suzuki_Ayumi-Yu_Zhiying.sgf,48.433734939759034,51.566265060240966,W,W
38am-gokifu-20200731-Fan_Tingyu-Murakawa_Daisuke.sgf,46.070460704607044,53.929539295392956,W,B
38an-gokifu-20200831-Shi_Yue-Fan_Tingyu.sgf,47.368421052631575,52.63157894736842,W,W
38ar-gokifu-20200319-Xu_Jiayang-Li_Weiqing.sgf,49.45652173913043,50.54347826086957,W,B
38bd-gokifu-20201010-Ke_Jie-Mi_Yuting.sgf,53.70370370370371,46.2962962962963,B,B
38be-gokifu-20201010-Ding_Hao-Tang_Weixing.sgf,50.20746887966805,49.79253112033195,B,W
38bf-gokifu-20201010-Xie_Erhao-Fan_Tingyu.sgf,50.0,50.0,W,W
38bg-gokifu-20201010-Yang_Dingxin-Lian_Xiao.sgf,46.71052631578947,53.289473684210535,W,B
38by-gokifu-20201013-Hong_Kipyo-Fan_Tingyu.sgf,53.73134328358209,46.26865671641791,B,B
38bz-gokifu-20201011-Ke_Jie-Fan_Tingyu.sgf,49.127906976744185,50.872093023255815,W,B
38c0-gokifu-20201012-Tang_Weixing-Ke_Jie.sgf,50.69444444444444,49.30555555555556,B,W
38c1-gokifu-20201011-Tang_Weixing-Yang_Dingxin.sgf,50.3448275862069,49.6551724137931,B,B
38c8-gokifu-20201014-Hong_Kipyo-Hsu_Chiayuan.sgf,49.04632152588556,50.95367847411444,W,W
38ce-gokifu-20201016-Kang_Dongyun-Gu_Zihao.sgf,51.52439024390244,48.47560975609756,B,W
38cf-gokifu-20201015-Hsu_Chiayuan-Gu_Zihao.sgf,49.67741935483871,50.32258064516129,W,W
38ci-gokifu-20200908-Kono_Rin-Lin_Lixiang.sgf,53.216374269005854,46.783625730994146,B,B
38cj-gokifu-20200818-Park_Jungwhan-Iyama_Yuuta.sgf,48.059701492537314,51.94029850746269,W,B
38cq-gokifu-20200829-Shin_Minjun-Lian_Xiao.sgf,45.63106796116505,54.36893203883495,W,
38ct-gokifu-20200420-Xie_Ke-Lian_Xiao.sgf,50.625,49.375,B,
